genus,A.art_S7,A.tri_S6,B.pap_S3,B.sco_S5,C.ill_S4,mix10_S37,mix10_S38,mix10_S39,mix11_S40,mix11_S41,mix11_S42,mix12_S43,mix12_S44,mix12_S45,mix13_S46,mix13_S47,mix13_S48,mix14_S49,mix14_S50,mix14_S51,mix15_S52,mix15_S53,mix15_S54,mix16_S55,mix16_S56,mix16_S57,mix17_S58,mix17_S59,mix17_S60,mix18_S61,mix18_S62,mix18_S63,mix19_S64,mix19_S65,mix19_S66,mix1_S10,mix1_S11,mix1_S12,mix20_S67,mix20_S68,mix20_S69,mix21_S70,mix21_S71,mix21_S72,mix22_S73,mix22_S74,mix22_S75,mix23_S76,mix23_S77,mix23_S78,mix24_S79,mix24_S80,mix24_S81,mix25_S82,mix25_S83,mix25_S84,mix26_S85,mix26_S86,mix26_S87,mix27_S88,mix27_S89,mix27_S90,mix28_S91,mix28_S92,mix28_S93,mix2_S13,mix2_S14,mix2_S15,mix3_S16,mix3_S17,mix3_S18,mix4_S19,mix4_S20,mix4_S21,mix5_S22,mix5_S23,mix5_S24,mix6_S25,mix6_S26,mix6_S27,mix7_S28,mix7_S29,mix7_S30,mix8_S31,mix8_S32,mix8_S33,mix9_S34,mix9_S35,mix9_S36,P.del_S2,P.pra_S8,P.tre_S1,Z.mays_S9
Acer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrimonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,67,327,264,1297,382,337,174,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosia,4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1524,1209,1659,3200,11170,4045,3308,3184,6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,51,0,0,0,373,280,366,218,859,300,111,135,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bassia,0,0,0,39253,43,0,0,0,0,0,0,0,0,0,0,0,0,845,961,1538,561,1341,913,0,0,0,0,0,0,0,0,0,12776,10749,9099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750,2209,2922,1459,1381,879,974,414,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broussonetia,411,0,33894,0,152,230,2967,2324,2328,2407,3278,17521,5861,15722,8399,7063,7817,2184,2560,3910,1396,3880,2723,0,0,0,2135,4801,2241,0,0,0,24016,24589,25807,9471,21477,8178,94,0,62,24764,31748,28699,12507,9767,29959,2086,6008,3327,0,0,0,51,45,0,89,74,65,573,2426,723,90,118,176,13359,8256,8457,2973,2848,2549,3074,996,2407,0,0,0,0,0,0,9355,10147,11815,453,14703,9849,4296,5610,236,0,0,0,0
Chenopodium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactylis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digitaria,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
